timestamp,price_dollar,sells
1606957200000,0.256,210
1607043600000,0.51,7333
1607130000000,0.59,6885
1607216400000,0.649,7012
1607302800000,0.662,5100
1607389200000,0.64,5143
1607475600000,0.528,8204
1607562000000,0.518,4088
1607648400000,0.691,7942
1607734800000,0.868,8266
1607821200000,0.795,3750
1607907600000,0.824,3258
1607994000000,0.814,4872
1608080400000,0.734,8530
1608166800000,0.763,5376
1608253200000,0.782,4095
1608339600000,0.762,3494
1608426000000,0.7,3209
1608512400000,0.68,2996
1608598800000,0.689,3623
1608685200000,0.633,7983
1608771600000,0.628,4813
1608858000000,0.631,3664
1608944400000,0.657,3372
1609030800000,0.682,2747
1609117200000,0.674,2895
1609203600000,0.697,4161
1609290000000,0.651,8951
1609376400000,0.666,4867
1609462800000,0.689,4391
1609549200000,0.706,4114
1609635600000,0.731,4237
1609722000000,0.787,3682
1609808400000,0.82,5228
1609894800000,0.78,10187
1609981200000,0.786,6055
1610067600000,0.78,5215
1610154000000,0.793,5301
1610240400000,0.82,4905
1610326800000,0.808,3799
1610413200000,0.805,5533
1610499600000,0.751,10590
1610586000000,0.705,6342
1610672400000,0.702,5135
1610758800000,0.706,5043
1610845200000,0.717,4310
1610931600000,0.734,4083
1611018000000,0.742,5305
1611104400000,0.701,10990
1611190800000,0.669,6941
1611277200000,0.658,5955
1611363600000,0.653,5379
1611450000000,0.642,4787
1611536400000,0.631,4587
1611622800000,0.625,5523
1611709200000,0.552,11782
1611795600000,0.48,16353
1611882000000,0.482,7168
1611968400000,0.489,6056
1612054800000,0.492,4765
1612141200000,0.491,4758
1612227600000,0.473,7118
1612314000000,0.447,10184
1612400400000,0.456,6619
1612486800000,0.456,5727
1612573200000,0.449,5146
1612659600000,0.45,4431
1612746000000,0.428,4113
1612832400000,0.414,5936
1612918800000,0.39,9155
1613005200000,0.381,5699
1613091600000,0.376,5081
1613178000000,0.377,4894
1613264400000,0.393,4729
1613350800000,0.403,3631
1613437200000,0.409,3979
1613523600000,0.376,8097
1613610000000,0.39,5848
1613696400000,0.404,4769
1613782800000,0.428,4613
1613869200000,0.47,4849
1613955600000,0.495,4489
1614042000000,0.501,5923
1614128400000,0.492,9096
1614214800000,0.506,5863
1614301200000,0.513,4913
1614387600000,0.502,5096
1614474000000,0.492,4995
1614560400000,0.502,3873
1614646800000,0.549,6132
1614733200000,0.553,9092
1614819600000,0.551,6440
1614906000000,0.569,5463
1614992400000,0.575,5230
1615078800000,0.585,5048
1615165200000,0.577,4933
1615251600000,0.564,5421
1615338000000,0.543,9721
1615424400000,0.572,6912
1615510800000,0.562,6003
1615597200000,0.546,5784
1615683600000,0.55,5016
1615770000000,0.537,4290
1615856400000,0.579,6775
1615942800000,0.561,12464
1616029200000,0.589,8644
1616115600000,0.56,9700
1616202000000,0.568,7625
1616288400000,0.569,6967
1616374800000,0.58,6368
1616461200000,0.608,6193
1616547600000,0.694,7181
1616634000000,0.704,6231
1616720400000,0.649,5281
1616806800000,0.64,5336
1616893200000,0.634,5335
1616979600000,0.639,5351
1617066000000,0.64,4750
1617152400000,0.648,4648
1617238800000,0.675,4673
1617325200000,0.674,5570
1617411600000,0.663,5903
1617498000000,0.672,5819
1617584400000,0.676,5869
1617670800000,0.681,5163
1617757200000,0.61,10981
1617843600000,0.53,8361
1617930000000,0.531,8794
1618016400000,0.538,7440
1618102800000,0.518,5048
1618189200000,0.551,6431
1618275600000,0.523,5811
1618362000000,0.572,3711
1618448400000,0.564,6725
1618534800000,0.547,5233
1618621200000,0.553,6044
1618707600000,0.544,5516
1618794000000,0.523,5663
1618880400000,0.529,5722
1618966800000,0.559,6267
1619053200000,0.589,4347
1619139600000,0.625,5603
1619226000000,0.646,5080
1619312400000,0.631,4217
1619398800000,0.626,5001
1619485200000,0.636,4317
1619571600000,0.632,4163
1619658000000,0.646,5811
1619744400000,0.647,6315
1619830800000,0.656,4234
1619917200000,0.583,9719
1620003600000,0.592,9960
1620090000000,0.725,7601
1620176400000,0.667,3798
1620262800000,0.636,3879
1620349200000,0.608,5466
1620435600000,0.605,3448
1620522000000,0.603,3019
1620608400000,0.62,2529
1620694800000,0.618,3330
1620781200000,0.64,2432
1620867600000,0.68,2916
1620954000000,0.657,2289
1621040400000,0.64,1880
1621126800000,0.634,1876
1621213200000,0.621,1858
1621299600000,0.632,1811
1621386000000,0.621,2222
1621472400000,0.637,1615
1621558800000,0.626,2358
1621645200000,0.639,1808
1621731600000,0.655,1941
1621818000000,0.669,1622
1621904400000,0.679,2055
1621990800000,0.691,1606
1622077200000,0.693,1414
1622163600000,0.665,1591
1622250000000,0.674,1793
1622336400000,0.68,1419
1622422800000,0.682,1435
1622509200000,0.688,1148
1622595600000,0.692,1316
1622682000000,0.692,1399
1622768400000,0.678,2446
1622854800000,0.673,4276
1622941200000,0.684,1596
1623027600000,0.687,1390
1623114000000,0.683,1346
1623200400000,0.679,1576
1623286800000,0.671,1309
1623373200000,0.675,1201
1623459600000,0.652,1852
1623546000000,0.664,1311
1623632400000,0.681,1136
1623718800000,0.676,1064
1623805200000,0.686,1008
1623891600000,0.68,930
1623978000000,0.676,1196
1624064400000,0.67,1424
1624150800000,0.683,1192
1624237200000,0.673,1273
1624323600000,0.676,1353
1624410000000,0.666,1545
1624496400000,0.64,1923
1624582800000,0.657,2261
1624669200000,0.666,1757
1624755600000,0.682,1240
1624842000000,0.676,1221
1624928400000,0.691,1174
1625014800000,0.684,1391
1625101200000,0.685,1140
1625187600000,0.689,1324
1625274000000,0.698,1075
1625360400000,0.711,1007
1625446800000,0.706,888
1625533200000,0.685,1077
1625619600000,0.688,1141
1625706000000,0.696,1491
1625792400000,0.747,858
1625878800000,0.755,803
1625965200000,0.762,869
1626051600000,0.772,886
1626138000000,0.784,1260
1626224400000,0.792,1025
1626310800000,0.795,1041
1626397200000,0.809,1037
1626483600000,0.819,859
1626570000000,0.824,877
1626656400000,0.833,1104
1626742800000,0.825,1219
1626829200000,0.855,906
1626915600000,0.865,1801
1627002000000,0.842,1130
1627088400000,0.829,940
1627174800000,0.837,848
1627261200000,0.844,719
1627347600000,0.854,515
1627434000000,0.854,701
1627520400000,0.836,712
1627606800000,0.815,1296
1627693200000,0.804,1514
1627779600000,0.823,906
1627866000000,0.846,983
1627952400000,0.859,845
1628038800000,0.844,938
1628125200000,0.85,660
1628211600000,0.808,1314
1628298000000,0.821,916
1628384400000,0.82,928
1628470800000,0.81,1002
1628557200000,0.814,1200
1628643600000,0.828,853
1628730000000,0.816,1054
1628816400000,0.81,925
1628902800000,0.819,710
1628989200000,0.823,1332
1629075600000,0.811,799
1629162000000,0.805,1147
1629248400000,0.803,952
1629334800000,0.811,892
1629421200000,0.82,1054
1629507600000,0.83,872
1629594000000,0.843,820
1629680400000,0.843,760
1629766800000,0.829,1168
1629853200000,0.836,1070
1629939600000,0.884,3162
1630026000000,0.937,1264
1630112400000,0.961,1799
1630198800000,0.93,1509
1630285200000,0.935,660
1630371600000,0.916,698
1630458000000,0.938,787
1630544400000,0.945,634
1630630800000,0.952,804
1630717200000,0.974,769
1630803600000,0.992,731
1630890000000,1.017,676
1630976400000,1.076,943
1631062800000,1.034,969
1631149200000,1.022,746
1631235600000,0.99,1019
1631322000000,1.019,917
1631408400000,0.984,954
1631494800000,0.966,723
1631581200000,0.958,646
1631667600000,0.957,957
1631754000000,0.957,631
1631840400000,0.948,778
1631926800000,0.944,977
1632013200000,0.98,1045
1632099600000,0.97,654
1632186000000,0.975,743
1632272400000,0.745,7191
1632358800000,0.722,1483
1632445200000,0.698,1232
1632531600000,0.701,1350
1632618000000,0.718,1005
1632704400000,0.751,1010
1632790800000,0.793,870
1632877200000,0.764,944
1632963600000,0.76,901
1633050000000,0.781,737
1633136400000,0.778,915
1633222800000,0.79,815
1633309200000,0.806,822
1633395600000,0.799,864
1633482000000,0.804,729
1633568400000,0.791,1187
1633654800000,0.796,1568
1633741200000,0.804,895
1633827600000,0.797,751
1633914000000,0.79,769
1634000400000,0.767,1529
1634086800000,0.754,3986
1634173200000,0.783,903
1634259600000,0.794,768
1634346000000,0.792,955
1634432400000,0.803,946
1634518800000,0.81,793
1634605200000,0.812,634
1634691600000,0.809,693
1634778000000,0.809,727
1634864400000,0.699,1948
1634950800000,0.682,1119
1635037200000,0.691,748
1635123600000,0.671,775
1635210000000,0.692,618
1635296400000,0.7,688
1635382800000,0.723,539
1635469200000,0.717,747
1635555600000,0.707,717
