timestamp,price_dollar,sells
1683248400000,0.74,403
1683252000000,0.77,295
1683255600000,0.785,262
1683259200000,0.809,207
1683262800000,0.65,156
1683266400000,0.54,130
1683270000000,0.538,153
1683273600000,0.511,153
1683277200000,0.51,142
1683280800000,0.507,132
1683284400000,0.5,145
1683288000000,0.442,133
1683291600000,0.43,153
1683295200000,0.408,80
1683298800000,0.391,74
1683302400000,0.39,180
1683306000000,0.398,208
1683309600000,0.43,191
1683313200000,0.423,144
1683316800000,0.41,119
1683320400000,0.405,117
1683324000000,0.4,109
1683327600000,0.4,89
1683331200000,0.419,107
1683334800000,0.415,65
1683338400000,0.4,51
1683342000000,0.417,66
1683345600000,0.417,50
1683349200000,0.42,57
1683352800000,0.4,51
1683356400000,0.403,64
1683360000000,0.4,52
1683363600000,0.38,50
1683367200000,0.38,50
1683370800000,0.379,68
1683374400000,0.361,49
1683378000000,0.361,58
1683381600000,0.358,63
1683385200000,0.362,65
1683388800000,0.358,70
1683392400000,0.359,81
1683396000000,0.359,68
1683399600000,0.357,81
1683403200000,0.369,212
1683406800000,0.297,48
1683410400000,0.275,53
1683414000000,0.256,43
1683417600000,0.256,39
1683421200000,0.263,33
1683424800000,0.258,16
1683428400000,0.257,22
1683432000000,0.264,28
1683435600000,0.264,35
1683439200000,0.277,50
1683442800000,0.281,42
1683446400000,0.298,29
1683450000000,0.278,32
1683453600000,0.282,42
1683457200000,0.287,68
1683460800000,0.266,52
1683464400000,0.286,43
1683468000000,0.265,43
1683471600000,0.275,72
1683475200000,0.268,48
1683478800000,0.276,51
1683482400000,0.286,56
1683486000000,0.296,42
1683489600000,0.278,41
1683493200000,0.271,39
1683496800000,0.272,31
1683500400000,0.276,28
1683504000000,0.264,21
1683507600000,0.264,21
1683511200000,0.256,25
1683514800000,0.318,43
1683518400000,0.258,10
1683522000000,0.269,11
1683525600000,0.27,9
1683529200000,0.271,16
1683532800000,0.286,23
1683536400000,0.27,23
1683540000000,0.288,21
1683543600000,0.309,90
1683547200000,0.31,41
1683550800000,0.269,29
1683554400000,0.276,37
1683558000000,0.268,22
1683561600000,0.262,52
1683565200000,0.27,31
1683568800000,0.269,55
1683572400000,0.277,56
1683576000000,0.308,43
1683579600000,0.309,67
1683583200000,0.261,36
1683586800000,0.269,22
1683590400000,0.262,16
1683594000000,0.253,13
1683597600000,0.262,12
1683601200000,0.255,28
1683604800000,0.254,7
1683608400000,0.253,14
1683612000000,0.26,17
1683615600000,0.276,11
1683619200000,0.278,17
1683622800000,0.277,21
1683626400000,0.292,15
1683630000000,0.276,15
1683633600000,0.276,18
1683637200000,0.29,22
1683640800000,0.305,29
1683644400000,0.338,39
1683648000000,0.317,27
1683651600000,0.294,35
1683655200000,0.291,32
1683658800000,0.279,30
1683662400000,0.273,24
1683666000000,0.29,23
1683669600000,0.298,30
1683673200000,0.306,10
1683676800000,0.255,5
1683680400000,0.254,8
1683684000000,0.268,14
1683687600000,0.256,6
1683691200000,0.29,12
1683694800000,0.286,6
1683698400000,0.255,16
1683702000000,0.303,8
1683705600000,0.29,11
1683709200000,0.293,8
1683712800000,0.294,18
1683716400000,0.317,34
1683720000000,0.272,17
1683723600000,0.34,17
1683727200000,0.268,16
1683730800000,0.274,26
1683734400000,0.304,36
1683738000000,0.272,24
1683741600000,0.274,33
1683745200000,0.277,31
1683748800000,0.263,19
1683752400000,0.266,26
1683756000000,0.271,19
1683759600000,0.253,16
1683763200000,0.25,11
1683766800000,0.28,14
1683770400000,0.256,4
1683774000000,0.236,3
1683777600000,0.227,1
1683781200000,0.237,11
1683784800000,0.245,8
1683788400000,0.245,9
1683792000000,0.242,24
1683795600000,0.27,14
1683799200000,0.245,15
1683802800000,0.288,14
1683806400000,0.258,20
1683810000000,0.253,27
1683813600000,0.296,26
1683817200000,0.252,10
1683820800000,0.264,23
1683824400000,0.274,21
1683828000000,0.285,35
1683831600000,0.321,100
1683835200000,0.318,45
1683838800000,0.307,20
1683842400000,0.313,47
1683846000000,0.327,33
1683849600000,0.327,19
1683853200000,0.376,9
1683856800000,0.356,12
1683860400000,0.3,8
1683864000000,0.34,10
1683867600000,0.3,5
1683871200000,0.305,8
1683874800000,0.305,6
1683878400000,0.313,31
1683882000000,0.297,60
1683885600000,0.327,28
1683889200000,0.333,18
1683892800000,0.366,36
1683896400000,0.339,16
1683900000000,0.371,22
1683903600000,0.389,25
1683907200000,0.338,19
1683910800000,0.301,22
1683914400000,0.309,22
1683918000000,0.31,13
1683921600000,0.297,22
1683925200000,0.296,32
1683928800000,0.296,25
1683932400000,0.326,33
1683936000000,0.296,13
1683939600000,0.292,10
1683943200000,0.332,21
1683946800000,0.337,9
1683950400000,0.308,6
1683954000000,0.303,12
1683957600000,0.316,12
1683961200000,0.237,17
1683964800000,0.296,26
1683968400000,0.31,15
1683972000000,0.312,15
1683975600000,0.322,31
1683979200000,0.296,20
1683982800000,0.315,20
1683986400000,0.312,18
1683990000000,0.31,37
1683993600000,0.296,19
1683997200000,0.331,55
1684000800000,0.307,25
1684004400000,0.31,19
1684008000000,0.291,18
1684011600000,0.272,25
1684015200000,0.283,20
1684018800000,0.283,26
1684022400000,0.25,40
1684026000000,0.251,70
1684029600000,0.25,25
1684033200000,0.244,8
1684036800000,0.284,12
1684040400000,0.291,14
1684044000000,0.294,16
1684047600000,0.249,10
1684051200000,0.252,43
1684054800000,0.249,29
1684058400000,0.272,12
1684062000000,0.249,35
1684065600000,0.272,23
1684069200000,0.27,25
1684072800000,0.25,21
1684076400000,0.253,16
1684080000000,0.25,25
1684083600000,0.254,23
1684087200000,0.25,19
1684090800000,0.25,47
1684094400000,0.257,28
1684098000000,0.23,24
1684101600000,0.241,6
1684105200000,0.253,16
1684108800000,0.23,8
1684112400000,0.237,11
1684116000000,0.259,8
1684119600000,0.268,10
1684123200000,0.246,10
1684126800000,0.27,14
1684130400000,0.274,55
1684134000000,0.283,9
1684137600000,0.281,2
1684141200000,0.274,19
1684144800000,0.28,7
1684148400000,0.244,7
1684152000000,0.247,13
