timestamp,price_dollar,sells
1683248400000,6.35,461
1683252000000,7.94,307
1683255600000,7.943,307
1683259200000,7.7,191
1683262800000,6.788,241
1683266400000,6.79,270
1683270000000,7.44,251
1683273600000,6.509,160
1683277200000,5.344,168
1683280800000,5.15,154
1683284400000,5.006,158
1683288000000,4.723,142
1683291600000,4.65,146
1683295200000,4.633,123
1683298800000,4.616,108
1683302400000,4.798,218
1683306000000,7.071,242
1683309600000,7.431,144
1683313200000,7.265,136
1683316800000,7.05,112
1683320400000,6.01,89
1683324000000,5.81,96
1683327600000,6.008,81
1683331200000,5.995,88
1683334800000,6.67,81
1683338400000,7.25,91
1683342000000,7.665,46
1683345600000,7.376,57
1683349200000,7.14,51
1683352800000,7.061,65
1683356400000,6.846,44
1683360000000,6.848,50
1683363600000,6.666,53
1683367200000,6.351,59
1683370800000,5.754,52
1683374400000,5.52,57
1683378000000,5.414,69
1683381600000,5.689,85
1683385200000,6.458,96
1683388800000,5.633,71
1683392400000,5.65,73
1683396000000,5.623,84
1683399600000,5.55,55
1683403200000,5.49,55
1683406800000,5.49,55
1683410400000,6.027,70
1683414000000,6,38
1683417600000,5.93,47
1683421200000,6.502,21
1683424800000,6.26,28
1683428400000,5.969,20
1683432000000,6.15,25
1683435600000,6.025,30
1683439200000,6.3,40
1683442800000,6.898,33
1683446400000,6.898,28
1683450000000,6.245,20
1683453600000,5.94,27
1683457200000,5.91,37
1683460800000,5.79,28
1683464400000,5.722,36
1683468000000,5.557,42
1683471600000,5.499,46
1683475200000,5.502,55
1683478800000,5.491,61
1683482400000,5.46,37
1683486000000,5.664,52
1683489600000,6.458,46
1683493200000,5.69,22
1683496800000,5.26,30
1683500400000,5.1,30
1683504000000,5.25,19
1683507600000,5.935,30
1683511200000,6.295,16
1683514800000,5.559,6
1683518400000,5.6,18
1683522000000,6.35,23
1683525600000,6.13,12
1683529200000,6.49,12
1683532800000,6.48,23
1683536400000,6.35,18
1683540000000,6.227,21
1683543600000,6,24
1683547200000,6,22
1683550800000,6.018,38
1683554400000,5.767,28
1683558000000,5.616,40
1683561600000,5.601,36
1683565200000,5.49,30
1683568800000,5.496,50
1683572400000,6.074,36
1683576000000,5.47,25
1683579600000,5.311,36
1683583200000,5.076,21
1683586800000,4.8,22
1683590400000,4.8,18
1683594000000,5.32,9
1683597600000,5.39,22
1683601200000,5.32,13
1683604800000,5.31,19
1683608400000,5.59,8
1683612000000,5.32,9
1683615600000,5.785,8
1683619200000,5.905,24
1683622800000,5.275,14
1683626400000,6.387,18
1683630000000,5.3,12
1683633600000,5.937,19
1683637200000,5.716,12
1683640800000,6.127,20
1683644400000,6.183,20
1683648000000,6.167,29
1683651600000,5.533,26
1683655200000,5.629,28
1683658800000,5.58,19
1683662400000,5.506,21
1683666000000,5.272,20
1683669600000,5.32,19
1683673200000,5.747,23
1683676800000,6.135,18
1683680400000,6.398,18
1683684000000,6.63,30
1683687600000,6.597,8
1683691200000,6.125,10
1683694800000,6.441,12
1683698400000,6.73,20
1683702000000,6.513,11
1683705600000,5.973,7
1683709200000,6.152,15
1683712800000,5.636,15
1683716400000,5.9,11
1683720000000,5.916,18
1683723600000,5.628,17
1683727200000,5.475,12
1683730800000,5.504,20
1683734400000,5.411,30
1683738000000,5.411,18
1683741600000,6.051,31
1683745200000,6.44,33
1683748800000,5.72,19
1683752400000,5.435,18
1683756000000,5.364,20
1683759600000,5.619,22
1683763200000,5.32,14
1683766800000,6.52,12
1683770400000,6.35,10
1683774000000,6.79,11
1683777600000,6.06,5
1683781200000,5.61,15
1683784800000,6.025,8
1683788400000,6.814,6
1683792000000,6.3,11
1683795600000,6.895,3
1683799200000,6.392,5
1683802800000,5.467,3
1683806400000,5.355,14
1683810000000,5.641,9
1683813600000,5.77,20
1683817200000,5.503,23
1683820800000,5.963,25
1683824400000,6.028,9
1683828000000,5.626,24
1683831600000,5.414,17
1683835200000,5.536,24
1683838800000,5.961,28
1683842400000,5.659,26
1683846000000,5.725,18
1683849600000,5.389,12
1683853200000,6.155,18
1683856800000,6.75,15
1683860400000,6.74,13
1683864000000,5.46,9
1683867600000,6.481,10
1683871200000,6.899,10
1683874800000,6.849,6
1683878400000,6.185,13
1683882000000,6.046,11
1683885600000,5.485,11
1683889200000,5.802,12
1683892800000,5.497,11
1683896400000,5.465,17
1683900000000,5.112,20
1683903600000,5.094,26
1683907200000,5.405,23
