timestamp,price_dollar,sells
1656723600000,1.656,111
1656810000000,1.046,116
1656896400000,0.808,99
1656982800000,0.838,87
1657069200000,0.848,67
1657155600000,0.781,60
1657242000000,0.703,69
1657328400000,0.708,97
1657414800000,0.759,86
1657501200000,0.72,73
1657587600000,0.717,93
1657674000000,0.731,45
1657760400000,0.73,107
1657846800000,0.752,71
1657933200000,0.766,90
1658019600000,0.778,89
1658106000000,0.855,95
1658192400000,0.915,106
1658278800000,0.924,56
1658365200000,0.933,100
1658451600000,0.944,111
1658538000000,0.822,98
1658624400000,0.807,67
1658710800000,0.705,69
1658797200000,0.616,78
1658883600000,0.53,89
1658970000000,0.482,101
1659056400000,0.482,99
1659142800000,0.484,109
1659229200000,0.462,121
1659315600000,0.467,99
1659402000000,0.492,113
1659488400000,0.5,169
1659574800000,0.554,148
1659661200000,0.563,94
1659747600000,0.576,92
1659834000000,0.583,112
1659920400000,0.588,86
1660006800000,0.582,48
1660093200000,0.561,78
1660179600000,0.515,89
1660266000000,0.487,101
1660352400000,0.462,111
1660438800000,0.425,112
1660525200000,0.418,126
1660611600000,0.44,111
1660698000000,0.398,145
1660784400000,0.409,146
1660870800000,0.398,123
1660957200000,0.422,141
1661043600000,0.411,101
1661130000000,0.409,104
1661216400000,0.423,84
1661302800000,0.44,112
1661389200000,0.446,114
1661475600000,0.459,141
1661562000000,0.473,109
1661648400000,0.475,120
1661734800000,0.462,103
1661821200000,0.456,91
1661907600000,0.448,118
1661994000000,0.449,88
1662080400000,0.443,83
1662166800000,0.409,150
1662253200000,0.408,115
1662339600000,0.405,112
1662426000000,0.398,76
1662512400000,0.389,121
1662598800000,0.419,118
1662685200000,0.425,106
1662771600000,0.427,123
1662858000000,0.431,123
1662944400000,0.42,75
1663030800000,0.417,92
1663117200000,0.413,105
1663203600000,0.402,101
1663290000000,0.379,81
1663376400000,0.371,109
1663462800000,0.362,119
1663549200000,0.356,93
1663635600000,0.362,102
1663722000000,0.355,93
1663808400000,0.343,78
1663894800000,0.347,129
1663981200000,0.338,134
1664067600000,0.347,154
1664154000000,0.337,113
1664240400000,0.33,114
1664326800000,0.318,219
1664413200000,0.317,115
1664499600000,0.319,114
1664586000000,0.316,147
1664672400000,0.317,183
1664758800000,0.317,126
1664845200000,0.312,120
1664931600000,0.324,112
1665018000000,0.313,92
1665104400000,0.319,95
1665190800000,0.319,142
1665277200000,0.319,93
1665363600000,0.322,104
1665450000000,0.322,76
1665536400000,0.3,69
1665622800000,0.313,107
1665709200000,0.309,61
1665795600000,0.322,142
1665882000000,0.319,116
1665968400000,0.324,91
1666054800000,0.323,86
1666141200000,0.316,105
1666227600000,0.318,94
1666314000000,0.327,100
1666400400000,0.318,141
1666486800000,0.313,135
1666573200000,0.302,102
1666659600000,0.307,102
1666746000000,0.305,112
1666832400000,0.312,128
1666918800000,0.295,116
1667005200000,0.31,196
1667091600000,0.304,117
1667178000000,0.303,117
1667264400000,0.306,97
1667350800000,0.298,99
1667437200000,0.292,104
1667523600000,0.29,238
1667610000000,0.284,131
1667696400000,0.288,114
1667782800000,0.29,108
1667869200000,0.289,113
1667955600000,0.287,101
1668042000000,0.286,96
1668128400000,0.279,108
1668214800000,0.285,93
1668301200000,0.278,255
1668387600000,0.267,115
1668474000000,0.265,101
1668560400000,0.265,165
1668646800000,0.259,102
1668733200000,0.262,104
1668819600000,0.258,94
1668906000000,0.248,88
1668992400000,0.252,82
1669078800000,0.245,96
1669165200000,0.245,90
1669251600000,0.233,120
1669338000000,0.22,123
1669424400000,0.226,141
1669510800000,0.22,166
1669597200000,0.213,149
1669683600000,0.227,130
1669770000000,0.229,80
1669856400000,0.227,61
1669942800000,0.246,110
1670029200000,0.233,116
1670115600000,0.234,105
1670202000000,0.23,97
1670288400000,0.243,124
1670374800000,0.246,85
1670461200000,0.233,86
1670547600000,0.247,100
1670634000000,0.249,95
1670720400000,0.236,90
1670806800000,0.24,131
1670893200000,0.239,131
1670979600000,0.244,105
1671066000000,0.236,122
1671152400000,0.229,107
1671238800000,0.229,111
1671325200000,0.227,117
1671411600000,0.233,103
1671498000000,0.217,116
1671584400000,0.217,125
1671670800000,0.215,77
1671757200000,0.214,161
1671843600000,0.216,106
1671930000000,0.215,163
1672016400000,0.215,184
1672102800000,0.206,112
1672189200000,0.205,121
1672275600000,0.202,150
1672362000000,0.199,155
1672448400000,0.205,136
1672534800000,0.207,112
1672621200000,0.2,139
1672707600000,0.202,129
1672794000000,0.187,125
1672880400000,0.194,125
1672966800000,0.192,95
1673053200000,0.193,114
1673139600000,0.196,142
1673226000000,0.192,128
1673312400000,0.193,127
1673398800000,0.194,115
1673485200000,0.193,113
1673571600000,0.191,129
1673658000000,0.194,139
1673744400000,0.187,163
1673830800000,0.198,257
1673917200000,0.196,113
1674003600000,0.199,203
1674090000000,0.199,121
1674176400000,0.204,181
1674262800000,0.206,156
1674349200000,0.198,118
1674435600000,0.212,183
1674522000000,0.216,132
1674608400000,0.212,103
1674694800000,0.206,138
1674781200000,0.206,146
1674867600000,0.217,162
1674954000000,0.217,140
1675040400000,0.216,116
1675126800000,0.215,143
1675213200000,0.217,145
1675299600000,0.241,262
1675386000000,0.225,132
1675472400000,0.22,155
1675558800000,0.219,136
1675645200000,0.219,138
1675731600000,0.232,133
1675818000000,0.234,102
1675904400000,0.235,123
1675990800000,0.228,200
1676077200000,0.228,142
1676163600000,0.23,175
1676250000000,0.237,161
