timestamp,price_dollar,sells
1651626000000,5.037,32
1651712400000,4.124,18
1651798800000,4.087,15
1651885200000,4.994,11
1651971600000,4.281,10
1652058000000,3.971,9
1652144400000,3.656,4
1652230800000,3.906,7
1652317200000,2.993,7
1652403600000,2.809,10
1652490000000,3.195,7
1652576400000,3.073,3
1652662800000,3.115,9
1652749200000,3.41,2
1652835600000,3.156,4
1652922000000,3.623,4
1653008400000,3.245,7
1653094800000,3.771,5
1653181200000,3.541,3
1653267600000,3.526,1
1653354000000,3.487,2
1653440400000,3.632,2
1653526800000,3.386,5
1653613200000,3.588,1
1653699600000,3.548,6
1653786000000,2.785,2
1653958800000,2.578,3
1654045200000,2.89,3
1654131600000,1.081,12
1654218000000,1.24,47
1654304400000,1.763,47
1654390800000,1.853,33
1654477200000,1.731,32
1654563600000,1.67,46
1654650000000,1.829,31
1654736400000,2.083,50
1654822800000,1.739,35
1654909200000,1.664,62
1654995600000,1.582,59
1655082000000,1.701,53
1655168400000,1.834,54
1655254800000,1.777,58
1655341200000,1.738,61
1655427600000,1.717,68
1655514000000,1.744,55
1655600400000,2.064,71
1655686800000,2.154,53
1655773200000,1.973,46
1655859600000,1.923,54
1655946000000,1.97,43
1656032400000,1.941,27
1656118800000,1.695,38
1656205200000,1.648,38
1656291600000,1.626,32
1656378000000,1.682,35
1656464400000,1.786,68
1656550800000,1.636,47
1656637200000,1.773,46
1656723600000,1.676,61
1656810000000,1.621,51
1656896400000,1.553,62
1656982800000,1.689,54
1657069200000,1.56,39
1657155600000,1.381,50
1657242000000,1.297,56
1657328400000,1.153,67
1657414800000,1.187,51
1657501200000,1.096,60
1657587600000,1.038,54
1657674000000,1.087,25
1657760400000,1.039,62
1657846800000,1.013,41
1657933200000,1.009,33
1658019600000,0.977,32
1658106000000,0.996,27
1658192400000,1.038,33
1658278800000,0.949,25
1658365200000,0.967,32
1658451600000,0.948,41
1658538000000,0.926,24
1658624400000,0.881,48
1658710800000,0.873,35
1658797200000,0.874,26
1658883600000,0.906,15
1658970000000,0.893,35
1659056400000,0.909,40
1659142800000,0.951,53
1659229200000,0.943,43
1659315600000,1.047,49
1659402000000,1.112,47
1659488400000,1.303,54
1659574800000,1.421,40
1659661200000,1.327,28
1659747600000,1.215,32
1659834000000,1.214,61
1659920400000,1.237,77
1660006800000,1.268,48
1660093200000,1.244,51
1660179600000,1.227,53
1660266000000,1.259,18
1660352400000,1.174,35
1660438800000,1.128,30
1660525200000,1.094,38
1660611600000,1.075,31
1660698000000,0.888,53
1660784400000,0.82,26
1660870800000,0.753,49
1660957200000,0.733,14
1661043600000,0.752,24
1661130000000,0.746,25
1661216400000,0.765,30
1661302800000,0.674,40
1661389200000,0.718,23
1661475600000,0.746,26
1661562000000,0.711,23
1661648400000,0.685,26
1661734800000,0.683,20
1661821200000,0.696,34
1661907600000,0.7,21
1661994000000,0.694,26
1662080400000,0.694,30
1662166800000,0.722,27
1662253200000,0.727,20
1662339600000,0.725,16
1662426000000,0.686,22
1662512400000,0.715,18
1662598800000,0.68,16
1662685200000,0.684,20
1662771600000,0.726,22
1662858000000,0.726,15
1662944400000,0.676,33
1663030800000,0.718,14
1663117200000,0.839,35
1663203600000,0.711,12
1663290000000,0.662,7
1663376400000,0.711,17
1663462800000,0.725,27
1663549200000,0.745,24
1663635600000,0.733,15
1663722000000,0.701,13
1663808400000,0.666,10
1663894800000,0.65,15
1663981200000,0.714,21
1664067600000,0.737,20
1664154000000,0.765,29
1664240400000,0.901,16
1664326800000,0.899,20
1664413200000,0.784,24
1664499600000,0.789,22
1664586000000,0.738,36
1664672400000,0.871,16
1664758800000,0.789,19
1664845200000,0.773,16
1664931600000,0.761,24
1665018000000,0.748,22
1665104400000,0.753,19
1665190800000,0.776,25
1665277200000,0.815,24
1665363600000,0.792,12
1665450000000,0.813,19
1665536400000,0.77,23
1665622800000,0.837,23
1665709200000,0.835,14
1665795600000,0.752,16
1665882000000,0.728,17
1665968400000,0.756,16
1666054800000,0.728,11
1666141200000,0.713,17
1666227600000,0.687,19
1666314000000,0.654,27
1666400400000,0.698,52
1666486800000,0.757,18
1666573200000,0.779,10
1666659600000,0.82,14
1666746000000,0.881,27
1666832400000,0.931,15
1666918800000,1.072,50
1667005200000,0.952,10
1667091600000,1.586,29
1667178000000,1.117,20
1667264400000,1.679,30
1667350800000,1.442,23
1667437200000,1.157,16
1667523600000,1.217,17
1667610000000,1.126,21
1667696400000,1.057,10
1667782800000,1.102,2
1667869200000,0.987,18
1667955600000,0.993,9
1668042000000,0.945,16
1668128400000,0.884,14
1668214800000,0.874,17
1668301200000,0.845,18
1668387600000,0.785,13
1668474000000,0.812,17
1668560400000,0.775,16
1668646800000,0.793,4
1668733200000,0.828,7
1668819600000,0.879,11
1668906000000,0.84,18
1668992400000,0.722,11
1669078800000,0.677,13
1669165200000,0.68,13
1669251600000,0.692,13
1669338000000,0.678,8
1669424400000,0.752,21
1669510800000,0.713,22
1669597200000,0.744,8
