timestamp,price_dollar,sells
1656637200000,1.39,30
1656723600000,0.694,513
1656810000000,0.502,458
1656896400000,0.408,438
1656982800000,0.355,410
1657069200000,0.303,421
1657155600000,0.271,340
1657242000000,0.269,351
1657328400000,0.307,393
1657414800000,0.372,398
1657501200000,0.336,401
1657587600000,0.328,344
1657674000000,0.322,233
1657760400000,0.313,393
1657846800000,0.34,356
1657933200000,0.38,330
1658019600000,0.401,420
1658106000000,0.382,364
1658192400000,0.371,444
1658278800000,0.402,259
1658365200000,0.392,399
1658451600000,0.343,434
1658538000000,0.304,432
1658624400000,0.256,333
1658710800000,0.232,383
1658797200000,0.219,366
1658883600000,0.206,335
1658970000000,0.211,458
1659056400000,0.213,368
1659142800000,0.232,487
1659229200000,0.246,457
1659315600000,0.26,399
1659402000000,0.273,376
1659488400000,0.288,356
1659574800000,0.279,302
1659661200000,0.268,366
1659747600000,0.244,387
1659834000000,0.224,426
1659920400000,0.214,303
1660006800000,0.193,148
1660093200000,0.192,429
1660179600000,0.177,479
1660266000000,0.186,354
1660352400000,0.198,407
1660438800000,0.203,396
1660525200000,0.197,339
1660611600000,0.199,389
1660698000000,0.195,582
1660784400000,0.198,504
1660870800000,0.195,451
1660957200000,0.198,380
1661043600000,0.196,442
1661130000000,0.202,392
1661216400000,0.207,324
1661302800000,0.207,317
1661389200000,0.197,363
1661475600000,0.201,442
1661562000000,0.203,417
1661648400000,0.198,475
1661734800000,0.199,423
1661821200000,0.198,364
1661907600000,0.206,490
1661994000000,0.207,393
1662080400000,0.207,409
1662166800000,0.204,366
1662253200000,0.205,404
1662339600000,0.211,424
1662426000000,0.208,299
1662512400000,0.207,316
1662598800000,0.21,372
1662685200000,0.212,360
1662771600000,0.21,348
1662858000000,0.21,366
1662944400000,0.208,366
1663030800000,0.208,304
1663117200000,0.207,356
1663203600000,0.2,282
1663290000000,0.191,310
1663376400000,0.181,355
1663462800000,0.181,341
1663549200000,0.173,285
1663635600000,0.174,307
1663722000000,0.154,268
1663808400000,0.152,411
1663894800000,0.152,301
1663981200000,0.146,642
1664067600000,0.144,470
1664154000000,0.144,354
1664240400000,0.145,631
1664326800000,0.147,297
1664413200000,0.142,377
1664499600000,0.142,500
1664586000000,0.138,421
1664672400000,0.138,459
1664758800000,0.139,373
1664845200000,0.143,382
1664931600000,0.143,355
1665018000000,0.143,394
1665104400000,0.141,372
1665190800000,0.144,445
1665277200000,0.143,446
1665363600000,0.142,317
1665450000000,0.151,357
1665536400000,0.143,261
1665622800000,0.143,399
1665709200000,0.139,239
1665795600000,0.14,470
1665882000000,0.141,338
1665968400000,0.146,354
1666054800000,0.149,398
1666141200000,0.142,283
1666227600000,0.148,323
1666314000000,0.152,401
1666400400000,0.143,462
1666486800000,0.14,400
1666573200000,0.13,272
1666659600000,0.135,363
1666746000000,0.135,356
