timestamp,price_dollar,sells
1651626000000,0.158,100
1651712400000,0.129,57
1651798800000,0.134,42
1651885200000,0.12,48
1651971600000,0.105,37
1652058000000,0.163,30
1652144400000,0.21,31
1652230800000,0.114,13
1652317200000,0.131,26
1652403600000,0.146,23
1652490000000,0.134,12
1652576400000,0.126,12
1652662800000,0.136,14
1652749200000,0.11,11
1652835600000,0.126,12
1652922000000,0.112,9
1653008400000,0.123,14
1653094800000,0.121,21
1653181200000,0.124,9
1653267600000,0.102,9
1653354000000,0.105,5
1653440400000,0.107,32
1653526800000,0.123,8
1653613200000,0.111,15
1653699600000,0.092,6
1653786000000,0.098,19
1653872400000,0.087,13
1653958800000,0.064,9
1654045200000,0.095,4
1654131600000,0.076,31
1654218000000,0.037,161
1654304400000,0.064,178
1654390800000,0.05,91
1654477200000,0.045,108
1654563600000,0.046,117
1654650000000,0.043,126
1654736400000,0.045,123
1654822800000,0.045,151
1654909200000,0.048,196
1654995600000,0.03,172
1655082000000,0.03,121
1655168400000,0.03,178
1655254800000,0.03,211
1655341200000,0.03,191
1655427600000,0.034,165
1655514000000,0.033,170
1655600400000,0.032,144
1655686800000,0.03,134
1655773200000,0.03,122
1655859600000,0.03,161
1655946000000,0.03,185
1656032400000,0.03,122
1656118800000,0.03,191
1656205200000,0.03,111
1656291600000,0.03,97
1656378000000,0.03,99
1656464400000,0.03,93
1656550800000,0.03,216
1656637200000,0.03,97
1656723600000,0.03,136
1656810000000,0.03,247
1656896400000,0.03,114
1656982800000,0.03,111
1657069200000,0.03,115
1657155600000,0.03,74
1657242000000,0.03,145
1657328400000,0.03,101
1657414800000,0.03,168
1657501200000,0.03,117
1657587600000,0.03,90
1657674000000,0.03,92
1657760400000,0.03,99
1657846800000,0.03,154
1657933200000,0.03,252
1658019600000,0.03,97
1658106000000,0.03,78
1658192400000,0.03,140
1658278800000,0.03,68
1658365200000,0.03,114
1658451600000,0.03,107
1658538000000,0.03,88
1658624400000,0.03,144
1658710800000,0.03,73
1658797200000,0.03,64
1658883600000,0.03,91
1658970000000,0.03,94
1659056400000,0.03,54
1659142800000,0.03,106
1659229200000,0.03,131
1659315600000,0.03,77
1659402000000,0.03,72
1659488400000,0.03,84
1659574800000,0.03,105
1659661200000,0.03,125
1659747600000,0.03,130
1659834000000,0.03,126
1659920400000,0.03,142
1660006800000,0.03,93
1660093200000,0.03,123
1660179600000,0.03,79
1660266000000,0.03,104
1660352400000,0.03,55
1660438800000,0.03,46
1660525200000,0.03,67
1660611600000,0.03,171
1660698000000,0.03,135
1660784400000,0.03,105
1660870800000,0.03,46
1660957200000,0.03,51
1661043600000,0.03,67
1661130000000,0.03,51
1661216400000,0.03,37
1661302800000,0.03,92
1661389200000,0.03,83
1661475600000,0.03,34
1661562000000,0.03,70
1661648400000,0.03,51
1661734800000,0.03,66
1661821200000,0.03,52
1661907600000,0.03,65
1661994000000,0.03,32
1662080400000,0.03,47
1662166800000,0.03,69
1662253200000,0.03,82
1662339600000,0.03,44
1662426000000,0.03,42
1662512400000,0.03,38
1662598800000,0.03,102
1662685200000,0.03,76
1662771600000,0.03,28
1662858000000,0.03,55
1662944400000,0.03,34
1663030800000,0.03,33
1663117200000,0.03,46
1663203600000,0.03,51
