timestamp,price_dollar,sells
1513731600000,9.447,1
1513818000000,7.625,2
1514509200000,5.991,4
1514595600000,10.025,1
1514682000000,8.485,1
1515027600000,8.25,1
1515114000000,8.281,1
1515805200000,4.536,1
1515891600000,7.414,1
1515978000000,7.602,1
1516064400000,7.318,2
1516150800000,7.683,1
1516323600000,4.6,1
1516410000000,7.802,3
1516582800000,6.243,2
1516669200000,8.01,1
1516842000000,7.808,1
1516928400000,3.836,16
1517014800000,3.894,18
1517101200000,4.068,40
1517187600000,3.69,22
1517274000000,3.54,6
1517360400000,3.319,18
1517446800000,3.508,17
1517533200000,3.471,7
1517619600000,3.571,11
1517706000000,3.579,3
1517792400000,3.485,2
1517878800000,3.314,4
1517965200000,3.396,4
1518051600000,3.298,3
1518138000000,3.31,8
1518224400000,3.186,7
1518310800000,3.077,4
1518397200000,3.078,11
1518483600000,3.3,1
1518570000000,3.257,7
1518656400000,3.077,5
1518742800000,3.003,2
1518829200000,3.12,10
1518915600000,3.051,3
1519002000000,3.33,1
1519088400000,3.355,4
1519174800000,2.965,4
1519261200000,2.761,2
1519347600000,2.982,4
1519434000000,3.053,3
1519520400000,2.906,3
1519606800000,2.795,2
1519693200000,3.097,4
1519779600000,3.258,10
1519866000000,2.783,5
1519952400000,3.439,6
1520038800000,3.177,3
1520125200000,2.9,1
1520211600000,3.691,6
1520384400000,3.776,1
1520470800000,3.101,1
1520557200000,3.563,4
1520643600000,3.502,1
1520730000000,3.804,2
1520902800000,3.514,2
1520989200000,3.005,2
1521075600000,3.672,2
1521162000000,3.687,2
1521248400000,3.462,6
1521334800000,3.7,3
1521421200000,3.845,2
1521507600000,3.663,2
1521594000000,3.684,2
1521680400000,4.284,2
1521853200000,4.818,3
1522026000000,4.955,2
1522198800000,4.211,1
1522371600000,4.245,2
1522458000000,4.599,2
1523062800000,4.692,1
1523149200000,4.321,1
1523235600000,4.345,2
1523322000000,4.282,1
1523408400000,4.683,2
1523667600000,4.494,1
1523754000000,4.161,1
1523926800000,4.792,3
1524013200000,4.293,1
1524186000000,4.995,4
1524445200000,4.915,1
1524704400000,5.235,1
1524963600000,5.43,1
1525136400000,4.417,1
1525222800000,5.243,2
1525309200000,5.389,7
1525482000000,5.039,1
1525654800000,5.443,1
1525914000000,4.547,1
1526000400000,4.209,1
1526086800000,6.447,1
1526173200000,4.898,1
1526432400000,4.85,1
1526605200000,5.418,2
1526778000000,4.821,2
1526864400000,5.376,1
1527123600000,5.422,2
1527296400000,4.483,1
1527642000000,5.749,2
1527987600000,6.439,1
1528074000000,6.468,4
1528160400000,6.321,4
1528246800000,6.651,3
1528506000000,7.249,4
1528678800000,6.444,1
1528851600000,9.976,3
1529283600000,10.966,3
1529456400000,9.805,1
1529629200000,8.503,2
1529715600000,7.993,1
1529802000000,10.772,2
1529888400000,10.713,2
1529974800000,9.529,1
1530061200000,12.533,1
1530147600000,12.086,2
1530320400000,7.002,1
1530493200000,9.468,1
1530579600000,11.52,2
1530752400000,11.613,1
1530838800000,11.651,1
1530925200000,11.721,2
1531011600000,12.054,1
1531357200000,11.665,1
1531702800000,14.906,4
1531789200000,14.624,1
1532048400000,12.944,1
1532221200000,12.991,1
1532307600000,12.705,1
1532566800000,10.059,1
1532653200000,10.059,1
1532739600000,10.134,2
1532998800000,10.127,1
1533258000000,10.306,1
1533344400000,10.26,2
1533776400000,8.475,1
1534035600000,8.516,1
1534208400000,10.15,2
1534381200000,10.13,1
1534640400000,8.51,1
1534726800000,8.491,1
1534813200000,8.265,2
1535418000000,10.538,2
1535677200000,12.21,1
1535763600000,9.218,2
1535850000000,8.921,1
1536022800000,9.816,1
1536109200000,8.85,1
1536541200000,4.451,1
1536627600000,8.614,1
1536886800000,5.163,1
1536973200000,5.134,1
1537059600000,5.44,1
1537146000000,5.221,4
1537232400000,4.548,1
1537578000000,4.344,2
1537664400000,4.848,2
1537837200000,4.826,1
1538010000000,4.825,1
1538096400000,4.847,1
1538269200000,3.496,1
1538614800000,4.21,1
1538701200000,5.793,1
1538787600000,5.81,1
1538960400000,4.845,2
1539133200000,4.263,3
1539219600000,5.28,1
1539824400000,4.202,3
1539997200000,5,1
1540256400000,5.208,1
1540342800000,4.261,4
1540429200000,3.734,2
1540515600000,3.781,3
1540602000000,3.975,4
1540774800000,3.857,1
1540861200000,3.874,1
1540947600000,3.596,2
1541034000000,3.227,2
1541120400000,3.789,6
1541206800000,3.854,5
1541293200000,4.004,60
1541379600000,4.192,1
1541466000000,4.553,3
1541552400000,4.579,3
1541725200000,4.575,1
1541811600000,4.353,2
1541984400000,5.833,5
1542502800000,5.588,2
1542589200000,5.708,2
1542675600000,5.715,1
1542762000000,5.727,1
1543194000000,5.713,1
1543280400000,5.71,2
1543366800000,4.858,14
1543798800000,6.532,1
1543885200000,6.532,1
1544058000000,6.532,1
1544144400000,4.565,1
1544317200000,6.532,1
1544403600000,6.542,1
1544490000000,5.552,2
1544662800000,6.532,1
1544922000000,6.515,1
1545008400000,6.513,2
1545094800000,6.555,1
1545181200000,5.1,1
1545354000000,5.851,2
1545440400000,6.532,1
1545526800000,6.555,1
1545613200000,6.559,1
1545699600000,5.554,1
1545786000000,6.574,1
1546304400000,6.594,1
1546650000000,6.015,3
1546736400000,6.607,2
1546822800000,6.612,1
1546909200000,6.612,1
1546995600000,6.624,1
1547082000000,6.624,2
1547168400000,6.624,1
1547254800000,6.63,2
1547341200000,6.634,1
1547427600000,6.647,1
1547514000000,6.164,2
